kind,league,slot,league_rank,name,url
player,La Liga,46,23,"D. Bladi",https://4590football.com/livescore/football/player/548853/d-bladi
player,Bundesliga,46,26,"A. Al Dakhil",https://4590football.com/livescore/football/player/323449/a-al-dakhil
player,Serie A,46,23,"L. Lucchesi",https://4590football.com/livescore/football/player/342018/l-lucchesi
player,Ligue 1,46,23,"A. Ait Boudlal",https://4590football.com/livescore/football/player/417830/a-ait-boudlal
player,Premier League,47,27,"A. Gray",https://4590football.com/livescore/football/player/328089/a-gray
player,La Liga,47,24,"M. Serrano",https://4590football.com/livescore/football/player/560997/m-serrano
player,Bundesliga,47,27,"A. Amaimouni",https://4590football.com/livescore/football/player/535046/a-amaimouni
player,Serie A,47,24,"M. Ilić",https://4590football.com/livescore/football/player/346923/m-ilic
player,Ligue 1,47,24,"A. Anselmino",https://4590football.com/livescore/football/player/422780/a-anselmino
player,Premier League,48,28,"A. Gunn",https://4590football.com/livescore/football/player/18933/a-gunn
player,La Liga,48,25,"J. A. Lopez",https://4590football.com/livescore/football/player/585288/j-a-lopez
player,Bundesliga,48,28,"A. Amenda",https://4590football.com/livescore/football/player/162414/a-amenda
player,Serie A,48,25,"S. Birindelli",https://4590football.com/livescore/football/player/30708/s-birindelli
player,Ligue 1,48,25,"A. Avom",https://4590football.com/livescore/football/player/402265/a-avom
player,Premier League,49,29,"A. Heaven",https://4590football.com/livescore/football/player/402329/a-heaven
player,La Liga,49,26,"E. Munoz",https://4590football.com/livescore/football/player/601858/e-munoz
player,Bundesliga,49,29,"A. Beck",https://4590football.com/livescore/football/player/8959/a-beck
player,Serie A,49,26,"Andrea Vailati",https://4590football.com/livescore/football/player/493646/andrea-vailati
player,Ligue 1,49,26,"A. Bamba",https://4590football.com/livescore/football/player/3234/a-bamba
player,Premier League,50,30,"A. Hickey",https://4590football.com/livescore/football/player/44871/a-hickey
player,La Liga,50,27,"S. Lozano",https://4590football.com/livescore/football/player/626804/s-lozano
player,Bundesliga,50,30,"A. Castro-Montes",https://4590football.com/livescore/football/player/8641/a-castro-montes
player,Serie A,50,27,"Nicolo Pannozzo",https://4590football.com/livescore/football/player/616197/nicolo-pannozzo
player,Ligue 1,50,27,"A. Bamba",https://4590football.com/livescore/football/player/453792/a-bamba
player,Premier League,51,31,"A. Isak",https://4590football.com/livescore/football/player/2864/a-isak
player,La Liga,51,28,"P. Sanz",https://4590football.com/livescore/football/player/646886/p-sanz
player,Bundesliga,51,31,"A. Claude-Maurice",https://4590football.com/livescore/football/player/20634/a-claude-maurice
player,Serie A,51,28,"M. Cassin",https://4590football.com/livescore/football/player/498776/m-cassin
